# English|Svenska|Dansk|Norsk bokmål|Deutsch
{count} train movements|{count} tågrörelser|{count} togbevægelser|{count} togbevegelser|{count} Zugbewegungen
Choose password|Välj lösenord|Vælg adgangskode|Velg passord|Passwort wählen
Choose train|Välj tåg|Vælg tog|Velg tog|Zug auswählen
Choose end stations, single or double track, and optionally an operating mode.|Välj ändstationer, enkel- eller dubbelspår och eventuellt eget trafikläge.|Vælg endestationer, enkelt- eller dobbeltspor og eventuelt driftsform.|Velg endestasjoner, enkelt- eller dobbeltspor og eventuelt driftsmodus.|Wähle Endbetriebsstellen, Ein- oder Zweigleisigkeit und gegebenenfalls eine eigene Betriebsart.
Waiting for code|Väntar på kod|Venter på kode|Venter på kode|Wartet auf Code
active trains|aktiva tåg|aktive tog|aktive tog|aktive Züge
operating locations|driftplatser|driftssteder|driftssteder|Betriebsorte
and|och|og|og|und
stops|stopp|stop|stopp|Halte
trains|tåg|tog|tog|Züge
trains ·|tåg ·|tog ·|tog ·|Züge ·
train routes|tågrutter|togruter|togruter|Zuglaufwege
train runs today|tågturer idag|togkørsler i dag|togturer i dag|Zugfahrten heute
occupied sections|upptagna sträckor|optagne strækninger|opptatte strekninger|belegte Streckenabschnitte
Owner — may also add and remove users|Ägare — får också lägga till och ta bort användare|Ejer — kan også tilføje og fjerne brugere|Eier — kan også legge til og fjerne brukere|Eigentümer — darf auch Benutzer hinzufügen und entfernen
Edit selected|Ändra markerade|Rediger valgte|Rediger valgte|Auswahl bearbeiten
Discard changes|Ångra ändringar|Fortryd ændringer|Forkast endringer|Änderungen verwerfen
Restore from backup|Återställ från säkerhetskopia|Gendan fra sikkerhedskopi|Gjenopprett fra sikkerhetskopi|Aus Sicherung wiederherstellen
Restore and restart|Återställ och starta om|Gendan og genstart|Gjenopprett og start på nytt|Wiederherstellen und neu starten
Actions|Åtgärder|Handlinger|Handlinger|Aktionen
Open TKL|Öppna TKL|Åbn TKL|Åpne TKL|TKL öffnen
Open administration|Öppna administration|Åbn administration|Åpne administrasjon|Verwaltung öffnen
Open in a separate tab|Öppna i egen flik|Åbn i separat fane|Åpne i egen fane|In eigenem Tab öffnen
Open server menu|Öppna servermenyn|Åbn servermenuen|Åpne servermenyen|Servermenü öffnen
Open train graph →|Öppna tågdiagram →|Åbn togdiagram →|Åpne togdiagram →|Bildfahrplan öffnen →
– stations · – trains|– stationer · – tåg|– stationer · – tog|– stasjoner · – tog|– Betriebsstellen · – Züge
⛶ Fullscreen|⛶ Fullskärm|⛶ Fuldskærm|⛶ Fullskjerm|⛶ Vollbild
Changing password…|Byter lösenord…|Ændrer adgangskode…|Endrer passord…|Passwort wird geändert …
Saving…|Sparar…|Gemmer…|Lagrer…|Wird gespeichert …
Save user|Spara användare|Gem bruger|Lagre bruker|Benutzer speichern
You have unsaved changes|Du har osparade ändringar|Du har ugemte ændringer|Du har ulagrede endringer|Du hast ungespeicherte Änderungen
All changes are saved|Alla ändringar är sparade|Alle ændringer er gemt|Alle endringer er lagret|Alle Änderungen sind gespeichert
Port mapping has unsaved changes|Portmappningen har osparade ändringar|Porttilknytningen har ugemte ændringer|Porttilordningen har ulagrede endringer|Die Anschlusszuordnung hat ungespeicherte Änderungen
All TMBoxes are saved|Alla TMBoxar är sparade|Alle TMBoxe er gemt|Alle TMBoxer er lagret|Alle TMBoxen sind gespeichert
Publishing…|Publicerar…|Publicerer…|Publiserer…|Wird veröffentlicht …
Publish changes|Publicera ändringar|Publicér ændringer|Publiser endringer|Änderungen veröffentlichen
Creating…|Skapar…|Opretter…|Oppretter…|Wird erstellt …
Replace code|Ersätt koden|Erstat koden|Erstatt koden|Code ersetzen
Create code|Skapa kod|Opret kode|Opprett kode|Code erstellen
API key configured|API-nyckel konfigurerad|API-nøgle konfigureret|API-nøkkel konfigurert|API-Schlüssel eingerichtet
API key missing|API-nyckel saknas|API-nøgle mangler|API-nøkkel mangler|API-Schlüssel fehlt
Station code · shown on the layout|Stationskod · visas på banan|Stationskode · vises på banen|Stasjonskode · vises på banen|Betriebsstellenkennung · auf der Anlage angezeigt
Alternative name · used during import|Alternativt namn · används vid import|Alternativt navn · bruges ved import|Alternativt navn · brukes ved import|Alternativer Name · beim Import verwendet
Import name · cannot be used as a short code|Namn vid import · kan inte väljas som kortkod|Importnavn · kan ikke bruges som kortkode|Importnavn · kan ikke brukes som kortkode|Importname · nicht als Kurzkennung verwendbar
Remove {name}|Ta bort {name}|Fjern {name}|Fjern {name}|{name} entfernen
Select another station code before removing this one.|Välj en annan stationskod innan du tar bort denna.|Vælg en anden stationskode, før denne fjernes.|Velg en annen stasjonskode før denne fjernes.|Wähle vor dem Entfernen dieser Kennung eine andere aus.
Fast clock, speed {speed}×|Träffklocka, hastighet {speed}×|Modelur, hastighed {speed}×|Modellklokke, hastighet {speed}×|Modellzeituhr, Zeitfaktor {speed}×
Connected to TrainMeet Server|Ansluten till TrainMeet Server|Forbundet til TrainMeet Server|Tilkoblet TrainMeet Server|Mit TrainMeet Server verbunden
Offline — last known state|Offline – senast kända läge|Offline — senest kendte tilstand|Frakoblet — sist kjente tilstand|Offline — letzter bekannter Stand
Voided|Ogiltigförklarad|Annulleret|Annullert|Ungültig
Active ·|Aktiva ·|Aktive ·|Aktive ·|Aktiv ·
Conductor · assigned train|Conductor · tilldelat tåg|Conductor · tildelt tog|Conductor · tildelt tog|Conductor · zugewiesener Zug
History ·|Historik ·|Historik ·|Historikk ·|Verlauf ·
Needs attention ·|Kräver uppmärksamhet ·|Kræver opmærksomhed ·|Krever oppmerksomhet ·|Handlungsbedarf ·
Revision|Revision|Revision|Revisjon|Revision
Schematic topology, reported train positions and track warrant limits|Schematisk bana, rapporterade tågpositioner och körordergränser|Skematisk bane, rapporterede togpositioner og kørselsordregrænser|Skjematisk bane, rapporterte togposisjoner og kjøreordregrenser|Schematischer Gleisplan, gemeldete Zugpositionen und Fahrbefehlsgrenzen
Session-specific run:|Tåguppdrag i detta trafikpass:|Togkørsel i denne session:|Togoppdrag i denne økten:|Zugfahrt dieser Sitzung:
active authorities|aktiva körtillstånd|aktive køretilladelser|aktive kjøretillatelser|aktive Fahrberechtigungen
history|historik|historik|historikk|Verlauf
runs|tåguppdrag|togkørsler|togoppdrag|Zugfahrten
train runs ·|tåguppdrag ·|togkørsler ·|togoppdrag ·|Zugfahrten ·
· final revision|· slutlig revision|· endelig revision|· endelig revisjon|· abschließende Revision
· history retained on the server|· historik sparas på servern|· historik gemmes på serveren|· historikk lagres på serveren|· Verlauf bleibt auf dem Server
One use · expires in|Engångskod · går ut om|Engangskode · udløber om|Engangskode · utløper om|Einmalcode · läuft ab in
minutes. After connection, select a train and choose Assign.|minuter. Efter anslutning väljer du tåg och Tilldela.|minutter. Efter forbindelse skal du vælge tog og Tildel.|minutter. Etter tilkobling velger du tog og Tildel.|Minuten. Wähle nach der Verbindung einen Zug und Zuweisen.
on the conductor’s device.|på conductorns enhet.|på conductorens enhed.|på conductorens enhet.|auf dem Gerät des Conductors.
Scheduled {time}|Planerat {time}|Planlagt {time}|Planlagt {time}|Geplant {time}
Assign {train}|Tilldela {train}|Tildel {train}|Tildel {train}|{train} zuweisen
Draft · {train}|Utkast · {train}|Kladde · {train}|Utkast · {train}|Entwurf · {train}
Report · {train}|Rapportera · {train}|Rapportér · {train}|Rapporter · {train}|Melden · {train}
Server confirmed revision {revision}. No command was resent.|Servern bekräftade revision {revision}. Inget kommando skickades igen.|Serveren bekræftede revision {revision}. Ingen kommando blev sendt igen.|Serveren bekreftet revisjon {revision}. Ingen kommando ble sendt på nytt.|Server hat Revision {revision} bestätigt. Kein Befehl wurde erneut gesendet.
No committed result found yet. Check again; the command will not be resent automatically.|Inget sparat resultat hittat ännu. Kontrollera igen; kommandot skickas inte om automatiskt.|Intet gemt resultat fundet endnu. Kontrollér igen; kommandoen sendes ikke automatisk igen.|Ingen lagret resultat funnet ennå. Kontroller igjen; kommandoen sendes ikke automatisk på nytt.|Noch kein gespeichertes Ergebnis gefunden. Erneut prüfen; der Befehl wird nicht automatisch erneut gesendet.
No committed result yet; check again.|Inget sparat resultat ännu; kontrollera igen.|Intet gemt resultat endnu; kontrollér igen.|Ingen lagret resultat ennå; kontroller igjen.|Noch kein gespeichertes Ergebnis; erneut prüfen.
Close this dialog, review the updated state and try again.|Stäng dialogen, granska det uppdaterade läget och försök igen.|Luk dialogen, gennemgå den opdaterede tilstand og prøv igen.|Lukk dialogen, gjennomgå den oppdaterte tilstanden og prøv igjen.|Schließe den Dialog, prüfe den aktualisierten Stand und versuche es erneut.
# US operating terminology, reviewed 2026-09-18. See docs/US-TERMINOLOGY.md.
Train dispatcher|Dispatcher (US)|Dispatcher (US)|Dispatcher (US)|Dispatcher (US)
Train dispatcher · Track Warrant Control|Dispatcher · Track Warrant Control|Dispatcher · Track Warrant Control|Dispatcher · Track Warrant Control|Dispatcher · Track Warrant Control
Draft · not in effect|Utkast · gäller inte|Kladde · ikke gældende|Utkast · ikke gjeldende|Entwurf · nicht in Kraft
Transmitted · not in effect|Överfört · gäller inte|Overført · ikke gældende|Overført · ikke gjeldende|Übermittelt · nicht in Kraft
Received · not in effect|Mottaget · gäller inte|Modtaget · ikke gældende|Mottatt · ikke gjeldende|Empfangen · nicht in Kraft
Readback reported · not in effect|Återläsning rapporterad · gäller inte|Gentagelse rapporteret · ikke gældende|Tilbakelesning rapportert · ikke gjeldende|Rücklesen gemeldet · nicht in Kraft
In effect|Gällande|Gældende|Gjeldende|In Kraft
Authority in effect|Gällande körtillstånd|Gældende køretilladelse|Gjeldende kjøretillatelse|Fahrberechtigung in Kraft
Release reported · awaiting confirmation|Frigivning rapporterad · inväntar bekräftelse|Frigivelse rapporteret · afventer bekræftelse|Frigivelse rapportert · venter på bekreftelse|Freigabe gemeldet · Bestätigung ausstehend
Released|Frigivet|Frigivet|Frigitt|Freigegeben
Voided|Makulerat|Annulleret|Annullert|Ungültig gemacht
Eastbound|Östgående|Østgående|Østgående|Ostwärts
Westbound|Västgående|Vestgående|Vestgående|Westwärts
Transmit track warrant|Skicka Track Warrant|Send Track Warrant|Send Track Warrant|Track Warrant übermitteln
Void track warrant|Makulera Track Warrant|Annuller Track Warrant|Annuller Track Warrant|Track Warrant ungültig machen
Your track warrants|Dina Track Warrants|Dine Track Warrants|Dine Track Warrants|Deine Track Warrants
Report clear of limits|Rapportera hela tåget fritt från gränserna|Meld hele toget fri af grænserne|Meld hele toget klart av grensene|Gesamten Zug außerhalb der Grenzen melden
Limits remain reserved until the dispatcher confirms release.|Gränserna är fortsatt reserverade tills dispatchern bekräftar frigivning.|Grænserne er fortsat reserverede, indtil dispatcheren bekræfter frigivelse.|Grensene er fortsatt reservert til dispatcheren bekrefter frigivelse.|Die Grenzen bleiben reserviert, bis der Dispatcher die Freigabe bestätigt.
Reserved authority limits|Reserverade tillståndsgränser|Reserverede tilladelsesgrænser|Reserverte tillatelsesgrenser|Reservierte Berechtigungsgrenzen
Proposed · not in effect|Föreslaget · gäller inte|Foreslået · ikke gældende|Foreslått · ikke gjeldende|Vorgeschlagen · nicht in Kraft
In effect / release pending ·|Gällande / frigivning väntar ·|Gældende / frigivelse afventer ·|Gjeldende / frigivelse venter ·|In Kraft / Freigabe ausstehend ·
held track warrants|reserverande Track Warrants|reserverende Track Warrants|reserverende Track Warrants|Track Warrants mit reservierten Grenzen
No reserved authority limits.|Inga reserverade tillståndsgränser.|Ingen reserverede tilladelsesgrænser.|Ingen reserverte tillatelsesgrenser.|Keine reservierten Berechtigungsgrenzen.
Proceed from … to …|Kör från … till …|Kør fra … til …|Kjør fra … til …|Fahren von … bis …
Work between … and …|Arbeta mellan … och …|Arbejd mellem … og …|Arbeid mellom … og …|Arbeiten zwischen … und …
The conductor must acknowledge receipt and read back this track warrant. Transmitting it does not put it in effect.|Conductor ska bekräfta mottagningen och läsa tillbaka detta Track Warrant. Överföringen gör det inte gällande.|Conductor skal bekræfte modtagelsen og gentage dette Track Warrant. Overførslen gør det ikke gældende.|Conductor må bekrefte mottaket og lese tilbake dette Track Warrant. Overføringen gjør det ikke gjeldende.|Der Conductor muss den Empfang bestätigen und dieses Track Warrant zurücklesen. Die Übermittlung setzt es nicht in Kraft.
I have received this exact track warrant. Receipt is not readback and does not authorize movement.|Jag har mottagit exakt detta Track Warrant. Mottagning är inte återläsning och ger inte tillstånd att köra.|Jeg har modtaget præcis dette Track Warrant. Modtagelse er ikke gentagelse og giver ikke tilladelse til at køre.|Jeg har mottatt nøyaktig dette Track Warrant. Mottak er ikke tilbakelesning og gir ikke tillatelse til å kjøre.|Ich habe genau dieses Track Warrant erhalten. Empfang ist kein Rücklesen und erteilt keine Fahrberechtigung.
My entire train is clear of the limits shown on this track warrant. I am reporting clear and will not use this authority again. In this test profile, the limits remain reserved until the dispatcher confirms release.|Hela mitt tåg är fritt från gränserna i detta Track Warrant. Jag rapporterar detta och kommer inte att använda tillståndet igen. I testprofilen är gränserna fortsatt reserverade tills dispatchern bekräftar frigivning.|Hele mit tog er fri af grænserne i dette Track Warrant. Jeg melder dette og vil ikke bruge tilladelsen igen. I testprofilen forbliver grænserne reserverede, indtil dispatcheren bekræfter frigivelse.|Hele toget mitt er klart av grensene i dette Track Warrant. Jeg melder dette og vil ikke bruke tillatelsen igjen. I testprofilen forblir grensene reservert til dispatcheren bekrefter frigivelse.|Mein gesamter Zug hat die Grenzen dieses Track Warrant verlassen. Ich melde dies und werde diese Berechtigung nicht erneut nutzen. In diesem Testprofil bleiben die Grenzen reserviert, bis der Dispatcher die Freigabe bestätigt.
I verified the conductor’s report that the entire train is clear of these limits. Confirm release and close this track warrant.|Jag har verifierat conductorns rapport att hela tåget är fritt från gränserna. Bekräfta frigivningen och avsluta detta Track Warrant.|Jeg har kontrolleret conductorens melding om, at hele toget er fri af grænserne. Bekræft frigivelsen og afslut dette Track Warrant.|Jeg har kontrollert conductorens melding om at hele toget er klart av grensene. Bekreft frigivelsen og avslutt dette Track Warrant.|Ich habe die Meldung des Conductors geprüft, dass der gesamte Zug die Grenzen verlassen hat. Freigabe bestätigen und dieses Track Warrant abschließen.
